"id","short-name","url","lifeUrl","OToLId","waarnemingId"
"Agaricus arvensis ss. lato","Agaricus arvensis","http://www.wikidata.org/entity/Q690801","193707","1010492","15184"
"Agaricus augustus","Agaricus augustus","http://www.wikidata.org/entity/Q267538","161125","869659","15477"
"Agaricus bisporus","Agaricus bisporus","http://www.wikidata.org/entity/Q227690","1004413","564405","15157"
"Agaricus bisporus [gekweekte variant]","Agaricus bisporus","http://www.wikidata.org/entity/Q227690","1004413","564405","15157"
"Agaricus bitorquis","Agaricus bitorquis","http://www.wikidata.org/entity/Q1423834","1009407","737455","15576"
"Agaricus brunneolus","Agaricus brunneolus","http://www.wikidata.org/entity/Q80983277","6720576","322691","672782"
"Agaricus campestris","Agaricus campestris","http://www.wikidata.org/entity/Q234529","10407419","112640","15200"
"Agaricus moelleri","Agaricus moelleri","http://www.wikidata.org/entity/Q1614842","1016936","744057","672786"
"Agaricus semotus-groep","Agaricus semotus","http://www.wikidata.org/entity/Q960859","6722377","223681","15671"
"Agaricus silvaticus","Agaricus silvaticus","https://www.wikidata.org/wiki/Q108559175","","489990","15519"
"Agaricus silvicola","Agaricus silvicola","http://www.wikidata.org/entity/Q384480","6722618","223687","15525"
"Agaricus subperonatus","Agaricus subperonatus","http://www.wikidata.org/entity/Q10436345","1004524","223684","27510"
"Agaricus xanthoderma","Agaricus xanthoderma","http://www.wikidata.org/entity/Q80984330","","223689","15308"
"Agrocybe cylindracea","Agrocybe cylindracea","http://www.wikidata.org/entity/Q1784183","44456318","453603","15463"
"Agrocybe dura","Agrocybe dura","http://www.wikidata.org/entity/Q1113169","195235","58505","14970"
"Agrocybe elatella","Agrocybe elatella","http://www.wikidata.org/entity/Q10683635","6715531","3810777","672791"
"Agrocybe erebia","Agrocybe erebia","http://www.wikidata.org/entity/Q10593638","198518","58504","15383"
"Agrocybe pediades","Agrocybe pediades","http://www.wikidata.org/entity/Q1886356","195734","58501","15229"
"Agrocybe praecox","Agrocybe praecox","http://www.wikidata.org/entity/Q1471958","195113","887971","15660"
"Agrocybe rivulosa","Agrocybe rivulosa","http://www.wikidata.org/entity/Q10403510","244626","3818477","20362"
"Alnicola bohemica ss. lato","Alnicola bohemica","http://www.wikidata.org/entity/Q81018168","189045","1092777","15720"
"Alnicola escharoides","Alnicola escharoides","http://www.wikidata.org/entity/Q84328374","","1092785","15005"
"Alnicola scolecina","Alnicola scolecina","http://www.wikidata.org/entity/Q81018490","157565","1092784","15076"
"Alnicola subconspersa","Alnicola subconspersa","http://www.wikidata.org/entity/Q81018636","191340","762586","13570"
"Amanita citrina","Amanita citrina","http://www.wikidata.org/entity/Q935729","6065449","1067404","15161"
