"id","short-name","url","lifeUrl","OToLId","waarnemingId"
"Schizophyllum commune"
"Lentinus, Neolentinus, Cantharellus"
"Lentinellus cochleatus"
"Plicaturopsis crispa"
"Gloeophyllum sepiarium"
"Gloeophyllum trabeum"
"Lenzites betulinus"
"Daedaleopsis confragosa"
"Fistulina hepatica"
"Phaeolus schweinitzii"
"Coltricia perennis"
"Coltricia confluens"
"Abortiporus biennis"
"Polyporus squamosus"
"Polyporus varius"
"Polyporus badius"
"Polyporus tuberaster"
"Polyporus ciliatus"
"Polyporus brumalis"
"Ganoderma lucidum"
"Phaeolus schweinitzii"
"Piptoporus betulinus"
"Grifola frondosa"
"Meripilus giganteus"
"Abortiporus biennis"
"Laetiporus sulphureus"
"Pycnoporus cinnabarinus"
"Gloeophyllum sepiarium"
"Gloeophyllum trabeum"
"Daedalea quercina"
"Lenzites betulinus"
"Daedaleopsis confragosa"
"Piptoporus betulinus"
"Ischnoderma benzoinum"
"Fomitopsis pinicola"
"Ganoderma resinaceum"
"Ganoderma cupreolaccatum"
"Ganoderma adspersum"
"Ganoderma lipsiense"
"Fomes fomentarius"
"Heterobasidion annosum"
"Perenniporia fraxinea"
"Oxyporus populinus"
"Phylloporia ribis"
"Fomitiporia hippophaëicola"
"Phellinus tuberculosus"
"Phellinus conchatus"
"Fomitiporia robusta"
"Phellinus igniarius"
"Trichaptum abietinum"
"Ischnoderma benzoinum"
"Datronia mollis"
"Daedaleopsis confragosa"
"Abortiporus biennis"
"Hapalopilus rutilans"
"Osmoporus odoratus"
"Pseudoinonotus dryadeus"
"Inonotus hispidus"
"Inonotus cuticularis"
"Phylloporia ribis"
"Mensularia radiata"
"Postia caesia ss. lato"
"Postia guttulata"
"Postia leucomallela-groep"
"Postia stiptica"
"Skeletocutis nivea"
"Postia tephroleuca"
"Bjerkandera adusta"
"Skeletocutis amorpha"
"Gloeoporus dichrous"
"Cerrena unicolor"
"Trametes suaveolens"
"Trametes gibbosa"
"Datronia mollis"
"Coriolopsis trogii"
"Skeletocutis carneogrisea"
"Skeletocutis nivea"
"Antrodiella serpula"
"Antrodiella semisupina ss. lato"
"Antrodia serialis"
"Trametes hirsuta"
"Trametes versicolor"
"Trametes ochracea"
"Physisporinus sanguinolentus"
"Physisporinus vitreus"
"Phellinus tuberculosus"
"Fuscoporia ferrea-groep"
"Trechispora mollusca-groep"
"Sistotrema dennisii"
"Ceriporia reticulata"
"Ceriporia purpurea-groep"
"Trichaptum abietinum"
"Meruliopsis taxicola"
"Skeletocutis amorpha"
"Schizopora flavipora"
"Antrodia xantha"
"Heterobasidion annosum"
"Oxyporus populinus"
"Skeletocutis nivea"
"Schizopora paradoxa ss. lato"
"Antrodia serialis"
"Cinereomyces lindbladii"

